Date,Open,High,Low,Close,Volume
9-Dec-16,9.17,9.42,9.15,9.23,3808094
8-Dec-16,9.34,9.39,9.01,9.20,4799339
7-Dec-16,9.75,9.79,9.33,9.37,5008517
6-Dec-16,9.64,9.79,9.61,9.75,2334370
5-Dec-16,9.72,9.88,9.65,9.66,4108580
2-Dec-16,10.02,10.02,9.59,9.70,3398923
1-Dec-16,10.08,10.24,9.70,9.82,4786484
30-Nov-16,10.08,10.40,9.98,9.98,6192217
29-Nov-16,9.80,10.07,9.73,9.83,2961143
28-Nov-16,9.75,9.92,9.72,9.81,2597929
25-Nov-16,9.90,10.08,9.84,9.89,1793302
23-Nov-16,9.74,9.94,9.61,9.88,2293932
22-Nov-16,9.93,10.00,9.55,9.79,5536950
21-Nov-16,9.95,10.23,9.85,9.91,4822883
18-Nov-16,10.01,10.07,9.87,10.02,3437002
17-Nov-16,9.89,10.09,9.77,9.98,4195287
16-Nov-16,10.08,10.14,9.86,9.90,4744180
15-Nov-16,10.35,10.40,10.01,10.14,4568455
14-Nov-16,10.25,10.50,10.20,10.35,3181171
11-Nov-16,10.17,10.36,9.95,10.28,3710371
10-Nov-16,10.37,10.67,10.07,10.21,3592830
9-Nov-16,9.82,10.42,9.75,10.41,7585388
8-Nov-16,10.64,11.16,10.44,10.86,5786068
7-Nov-16,11.30,11.35,10.29,10.64,10583756
4-Nov-16,10.00,12.47,9.90,11.16,29462187
3-Nov-16,12.55,12.60,11.82,11.94,9147319
2-Nov-16,12.32,13.09,12.32,12.84,5882591
1-Nov-16,12.72,13.00,12.25,12.48,5520679
31-Oct-16,13.54,13.60,12.72,12.78,7439877
28-Oct-16,13.75,14.04,13.56,13.60,2929183
27-Oct-16,13.96,14.34,13.70,13.73,3747896
26-Oct-16,13.84,14.30,13.80,14.13,3632690
25-Oct-16,13.91,14.11,13.66,13.88,3964114
24-Oct-16,14.65,14.75,13.80,13.88,9195445
21-Oct-16,14.59,15.12,14.50,14.93,4051459
20-Oct-16,14.66,15.03,14.55,14.75,4946281
19-Oct-16,14.75,14.87,14.55,14.70,5016292
18-Oct-16,14.25,14.58,14.11,14.41,6694333
17-Oct-16,14.05,14.29,13.59,14.07,7759884
14-Oct-16,14.20,14.20,13.50,13.60,6852149
13-Oct-16,13.76,14.39,13.59,13.84,10582570
12-Oct-16,14.95,14.95,14.18,14.30,7241610
11-Oct-16,15.55,15.68,14.85,15.02,7883744
10-Oct-16,16.43,16.50,15.65,15.66,7150599
